engine,frame,time_ps_mda,n_res_4p0A,n_res_5p0A,n_res_6p0A,time_ps,time_ns,C4_O1_A,RS_label,RS_label_raw,signed_triple_O1_C5phenyl_C3chain_about_C4
gromacs_1k_timing,65,325.0,11,13,20,325.0,0.325,4.433274745941162,R-like,R_like_by_product_reference,-0.8588070869445801
gromacs_1k_timing,66,330.0,12,14,19,330.0,0.33,4.250703811645508,R-like,R_like_by_product_reference,-0.8422802090644836
gromacs_1k_timing,67,335.0,11,14,18,335.0,0.335,4.339426517486572,R-like,R_like_by_product_reference,-1.2824804782867432
gromacs_1k_timing,68,340.0,11,14,17,340.0,0.34,4.263246536254883,R-like,R_like_by_product_reference,-1.572667121887207
gromacs_1k_timing,69,345.0,10,13,18,345.0,0.345,4.385998725891113,R-like,R_like_by_product_reference,-1.2096210718154907
gromacs_1k_timing,70,350.0,12,14,19,350.0,0.35,4.275442123413086,R-like,R_like_by_product_reference,-0.5100187063217163
gromacs_1k_timing,71,355.0,8,13,17,355.0,0.355,4.405123233795166,S-like,S_like_by_product_reference,2.7357594966888428
gromacs_1k_timing,72,360.0,12,14,18,360.0,0.36,4.294333457946777,S-like,S_like_by_product_reference,1.5538603067398071
gromacs_1k_timing,73,365.0,11,15,20,365.0,0.365,4.323216915130615,R-like,R_like_by_product_reference,-1.2196450233459473
gromacs_1k_timing,74,370.0,11,14,19,370.0,0.37,4.41283655166626,R-like,R_like_by_product_reference,-1.9437235593795776
gromacs_1k_timing,75,375.0,11,15,19,375.0,0.375,4.330136299133301,R-like,R_like_by_product_reference,-1.4839035272598269
gromacs_1k_timing,76,380.0,11,15,17,380.0,0.38,4.372127532958984,R-like,R_like_by_product_reference,-2.04273533821106
gromacs_1k_timing,77,385.0,11,14,18,385.0,0.385,4.452884674072266,R-like,R_like_by_product_reference,-1.247618556022644
gromacs_1k_timing,78,390.0,10,13,16,390.0,0.39,4.27178955078125,R-like,R_like_by_product_reference,-1.1553056240081787
gromacs_1k_timing,79,395.0,9,15,17,395.0,0.395,2.9257638454437256,R-like,R_like_by_product_reference,-3.4724738597869877
gromacs_1k_timing,80,400.0,9,15,17,400.0,0.4,3.302637815475464,R-like,R_like_by_product_reference,-2.9869089126586914
gromacs_1k_timing,81,405.0,9,13,17,405.0,0.405,3.174792051315308,R-like,R_like_by_product_reference,-1.6216366291046145
gromacs_1k_timing,82,410.0,10,15,15,410.0,0.41,3.152696371078491,R-like,R_like_by_product_reference,-4.063926696777344
gromacs_1k_timing,83,415.0,10,15,17,415.0,0.415,3.041792631149292,R-like,R_like_by_product_reference,-0.0931017622351646
gromacs_1k_timing,84,420.0,10,15,16,420.0,0.42,3.034487009048462,R-like,R_like_by_product_reference,-0.44801926612854
gromacs_1k_timing,85,425.0,10,14,18,425.0,0.425,3.107122898101806,R-like,R_like_by_product_reference,-2.764683723449707
gromacs_1k_timing,86,430.0,10,14,16,430.0,0.43,3.047722578048706,R-like,R_like_by_product_reference,-2.096308946609497
gromacs_1k_timing,87,435.0,12,14,17,435.0,0.435,3.239722728729248,R-like,R_like_by_product_reference,-3.410853385925293
gromacs_1k_timing,88,440.0,11,13,16,440.0,0.44,3.2437965869903564,R-like,R_like_by_product_reference,-2.99667763710022
gromacs_1k_timing,89,445.0,10,14,17,445.0,0.445,2.9389801025390625,S-like,S_like_by_product_reference,0.6724740862846375
gromacs_1k_timing,90,450.0,11,14,17,450.0,0.45,3.480429649353028,R-like,R_like_by_product_reference,-4.626345157623291
gromacs_1k_timing,91,455.0,9,13,16,455.0,0.455,3.113678216934204,S-like,S_like_by_product_reference,2.3196117877960205
gromacs_1k_timing,92,460.0,11,14,18,460.0,0.46,3.066528558731079,R-like,R_like_by_product_reference,-1.638259768486023
gromacs_1k_timing,93,465.0,13,14,17,465.0,0.465,3.00675892829895,S-like,S_like_by_product_reference,2.131278276443481
gromacs_1k_timing,94,470.0,10,14,19,470.0,0.47,3.2112932205200195,R-like,R_like_by_product_reference,-3.71283483505249
gromacs_1k_timing,95,475.0,9,15,17,475.0,0.475,2.9793615341186523,S-like,S_like_by_product_reference,0.1829752922058105
