engine,mda_frame,mda_time_ps,pocket_atom_count_6p5A,frame,time_ps,time_ns,C4_O1_A,RS_label
gromacs_full,184,920.0,35,184,920.0,0.92,3.16949200630188,R-like
gromacs_full,185,925.0,32,185,925.0,0.925,3.102818965911865,R-like
gromacs_full,186,930.0,35,186,930.0,0.93,3.0186257362365723,R-like
gromacs_full,187,935.0,36,187,935.0,0.935,3.0850789546966557,R-like
gromacs_full,188,940.0,35,188,940.0,0.94,3.207023859024048,R-like
gromacs_full,189,945.0,36,189,945.0,0.945,3.315993070602417,R-like
gromacs_full,190,950.0,34,190,950.0,0.95,3.369662046432495,R-like
gromacs_full,191,955.0,29,191,955.0,0.955,3.226809024810791,R-like
gromacs_full,192,960.0,38,192,960.0,0.96,3.2827110290527344,R-like
gromacs_full,193,965.0,31,193,965.0,0.965,3.5122342109680176,R-like
gromacs_full,194,970.0,38,194,970.0,0.97,2.928635358810425,R-like
gromacs_full,195,975.0,34,195,975.0,0.975,3.013005495071411,R-like
gromacs_full,196,980.0,33,196,980.0,0.98,3.294755697250366,R-like
gromacs_full,197,985.0,29,197,985.0,0.985,3.3933167457580566,R-like
gromacs_full,198,990.0,33,198,990.0,0.99,3.122022151947021,R-like
gromacs_full,199,995.0,28,199,995.0,0.995,3.26425838470459,R-like
